Date,brand,hits_page_pagetitle,page_views
2019-12-14,the-new-yorker,The Year in Stupidity | The New Yorker,156641
2019-12-15,the-new-yorker,The Year in Stupidity | The New Yorker,102762
2019-12-16,the-new-yorker,The Art of Dying | The New Yorker,152690
2019-12-17,the-new-yorker,The Art of Dying | The New Yorker,416977
2019-12-18,the-new-yorker,The Art of Dying | The New Yorker,179155
2019-12-19,the-new-yorker,The Art of Dying | The New Yorker,177913
2019-12-20,the-new-yorker,The New Yorker,93910
2019-12-21,the-new-yorker,The Art of Dying | The New Yorker,244205
2019-12-22,the-new-yorker,The Art of Dying | The New Yorker,141433
2019-12-23,the-new-yorker,The New Yorker,99627
2019-12-24,the-new-yorker,The New Yorker,83935
2019-12-25,the-new-yorker,The New Yorker,74872
2019-12-26,the-new-yorker,Love and Anger | The New Yorker,175462
2019-12-27,the-new-yorker,The New Yorker,89108
2019-12-28,the-new-yorker,The Best Movies of 2019 | The New Yorker,90056
2019-12-29,the-new-yorker,The New Yorker,81811
2019-12-30,the-new-yorker,The Ultra-Wealthy Who Argue That They Should Be Paying Higher Taxes | The New Yorker,146894
2019-12-31,the-new-yorker,The Ultra-Wealthy Who Argue That They Should Be Paying Higher Taxes | The New Yorker,149454
