Date,brand,hits_page_pagetitle,page_views
2019-03-19,the-new-yorker,"Stepping Into the Uncanny, Unsettling World of Shen Yun | The New Yorker",253167
2019-03-20,the-new-yorker,"Stepping Into the Uncanny, Unsettling World of Shen Yun | The New Yorker",202663
2019-03-21,the-new-yorker,"Emilia Clarke, of “Game of Thrones,” on Surviving Two Life-Threatening Aneurysms | The New Yorker",3935165
2019-03-22,the-new-yorker,"Emilia Clarke, of “Game of Thrones,” on Surviving Two Life-Threatening Aneurysms | The New Yorker",2895146
2019-03-23,the-new-yorker,"Emilia Clarke, of “Game of Thrones,” on Surviving Two Life-Threatening Aneurysms | The New Yorker",691058
2019-03-24,the-new-yorker,"Emilia Clarke, of “Game of Thrones,” on Surviving Two Life-Threatening Aneurysms | The New Yorker",340324
2019-03-25,the-new-yorker,"Emilia Clarke, of “Game of Thrones,” on Surviving Two Life-Threatening Aneurysms | The New Yorker",220986
2019-03-26,the-new-yorker,The New Yorker,148068
2019-03-27,the-new-yorker,The New Yorker,134531
2019-03-28,the-new-yorker,The New Yorker,126989
2019-03-29,the-new-yorker,The Day the Dinosaurs Died | The New Yorker,832804
2019-03-30,the-new-yorker,The Day the Dinosaurs Died | The New Yorker,1058542
2019-03-31,the-new-yorker,The Day the Dinosaurs Died | The New Yorker,765912
2019-04-01,the-new-yorker,The Challenge of Going Off Psychiatric Drugs | The New Yorker,631830
2019-04-02,the-new-yorker,The Challenge of Going Off Psychiatric Drugs | The New Yorker,617906
2019-04-03,the-new-yorker,The Challenge of Going Off Psychiatric Drugs | The New Yorker,278326
2019-04-04,the-new-yorker,The Challenge of Going Off Psychiatric Drugs | The New Yorker,196856
2019-04-05,the-new-yorker,The Challenge of Going Off Psychiatric Drugs | The New Yorker,149245
2019-04-06,the-new-yorker,The Rise and Fall of a New York Shock Jock | The New Yorker,198946
2019-04-07,the-new-yorker,The Day the Dinosaurs Died | The New Yorker,143218
2019-04-08,the-new-yorker,The New Yorker,151906
2019-04-09,the-new-yorker,This Really Happened Dept.: Scamming the Scammer | The New Yorker,147853
2019-04-10,the-new-yorker,Trump Names Lori Loughlin Education Secretary | The New Yorker,185754
2019-04-11,the-new-yorker,Bret Easton Ellis Thinks You’re Overreacting to Donald Trump | The New Yorker,503432
2019-04-12,the-new-yorker,Bret Easton Ellis Thinks You’re Overreacting to Donald Trump | The New Yorker,224702
2019-04-13,the-new-yorker,The New Yorker,94742
2019-04-14,the-new-yorker,Why Facts Don’t Change Our Minds | The New Yorker,228381
2019-04-15,the-new-yorker,Guantánamo’s Darkest Secret | The New Yorker,337074
2019-04-16,the-new-yorker,Guantánamo’s Darkest Secret | The New Yorker,329356
2019-04-17,the-new-yorker,Guantánamo’s Darkest Secret | The New Yorker,200900
2019-04-18,the-new-yorker,"Secrecy, Self-Dealing, and Greed at the N.R.A. | The New Yorker",171863
2019-04-19,the-new-yorker,"The Mueller Report Won’t End Trump’s Presidency, But It Sure Makes Him Look Bad | The New Yorker",218133
2019-04-20,the-new-yorker,"Secrecy, Self-Dealing, and Greed at the N.R.A. | The New Yorker",104199
2019-04-21,the-new-yorker,The New Yorker,100448
2019-04-22,the-new-yorker,The Wild Carnival at the Heart of Skiing’s Most Dangerous Race | The New Yorker,200004
2019-04-23,the-new-yorker,The Airbnb Invasion of Barcelona | The New Yorker,214318
2019-04-24,the-new-yorker,The Airbnb Invasion of Barcelona | The New Yorker,157705
2019-04-25,the-new-yorker,The New Yorker,128780
2019-04-26,the-new-yorker,The New Yorker,125105
2019-04-27,the-new-yorker,The New Yorker,99918
2019-04-28,the-new-yorker,The Terrifying Potential of the 5G Network | The New Yorker,176067
2019-04-29,the-new-yorker,Michael Cohen’s Last Days of Freedom | The New Yorker,358435
2019-04-30,the-new-yorker,The New Yorker,139894
2019-05-01,the-new-yorker,My Childhood in a Cult | The New Yorker,473465
2019-05-02,the-new-yorker,My Childhood in a Cult | The New Yorker,171160
2019-05-03,the-new-yorker,David Brooks’s Conversion Story | The New Yorker,196857
2019-05-04,the-new-yorker,The New Yorker,89401
2019-05-05,the-new-yorker,The Fight for the Right to Drive | The New Yorker,111629
2019-05-06,the-new-yorker,The New Yorker,138738
2019-05-07,the-new-yorker,The New Yorker,126461
2019-05-08,the-new-yorker,The New Yorker,127446
2019-05-09,the-new-yorker,America’s Failure to Protect Its Children from School Shootings Is a National Disgrace | The New Yorker,165213
2019-05-10,the-new-yorker,The New Yorker,116546
2019-05-11,the-new-yorker,The New Yorker,92518
2019-05-12,the-new-yorker,Michael Oren Cuts Short a Conversation About Israel | The New Yorker,107303
2019-05-13,the-new-yorker,"“Game of Thrones” Season 8, Episode 5 Recap: Hell’s Bells | The New Yorker",246099
2019-05-14,the-new-yorker,The New Yorker,129544
2019-05-15,the-new-yorker,The New Yorker,121692
2019-05-16,the-new-yorker,My Grandmother’s Desperate Choice | The New Yorker,157327
2019-05-17,the-new-yorker,The Messiness of Reproduction and the Dishonesty of Anti-Abortion Propaganda | The New Yorker,126500
2019-05-18,the-new-yorker,"In San Francisco, Tech Money Doesn’t Buy Happiness | The New Yorker",93970
2019-05-19,the-new-yorker,Daenerys Tells All! | The New Yorker,144424
2019-05-20,the-new-yorker,Daenerys Tells All! | The New Yorker,1777589
2019-05-21,the-new-yorker,Daenerys Tells All! | The New Yorker,505654
2019-05-22,the-new-yorker,Daenerys Tells All! | The New Yorker,176291
2019-05-23,the-new-yorker,The New Yorker,129692
2019-05-24,the-new-yorker,The Invisible City Beneath Paris | The New Yorker,159084
2019-05-25,the-new-yorker,Queen Elizabeth Says Bone Spurs Will Prevent Her from Meeting Trump | The New Yorker,134042
2019-05-26,the-new-yorker,Queen Elizabeth Says Bone Spurs Will Prevent Her from Meeting Trump | The New Yorker,277657
